sample_id,split,src_dir,dst_dir,file_count,total_bytes,seed,created_at,mode
E351,train,backend\data\Srilankan_OCT\DataFiles\E351,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E351,5,3581526,42,2026-03-21T16:18:00,junction
E690,train,backend\data\Srilankan_OCT\DataFiles\E690,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E690,5,46256442,42,2026-03-21T16:18:00,junction
E606,train,backend\data\Srilankan_OCT\DataFiles\E606,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E606,5,46256354,42,2026-03-21T16:18:00,junction
E918,train,backend\data\Srilankan_OCT\DataFiles\E918,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E918,9,92512820,42,2026-03-21T16:18:00,junction
E143,train,backend\data\Srilankan_OCT\DataFiles\E143,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E143,8,5019826,42,2026-03-21T16:18:00,junction
E923,train,backend\data\Srilankan_OCT\DataFiles\E923,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E923,8,5164282,42,2026-03-21T16:18:00,junction
E287,train,backend\data\Srilankan_OCT\DataFiles\E287,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E287,5,46256998,42,2026-03-21T16:18:00,junction
E124,train,backend\data\Srilankan_OCT\DataFiles\E124,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E124,9,7938330,42,2026-03-21T16:18:00,junction
E953,train,backend\data\Srilankan_OCT\DataFiles\E953,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E953,9,49700206,42,2026-03-21T16:18:00,junction
E855,train,backend\data\Srilankan_OCT\DataFiles\E855,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E855,9,8003644,42,2026-03-21T16:18:00,junction
E867,train,backend\data\Srilankan_OCT\DataFiles\E867,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E867,5,46256850,42,2026-03-21T16:18:00,junction
E496,train,backend\data\Srilankan_OCT\DataFiles\E496,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E496,5,3481294,42,2026-03-21T16:18:00,junction
E906,train,backend\data\Srilankan_OCT\DataFiles\E906,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E906,9,92512016,42,2026-03-21T16:18:00,junction
E748,train,backend\data\Srilankan_OCT\DataFiles\E748,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E748,8,5094056,42,2026-03-21T16:18:00,junction
E596,train,backend\data\Srilankan_OCT\DataFiles\E596,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E596,9,8018254,42,2026-03-21T16:18:00,junction
E563,train,backend\data\Srilankan_OCT\DataFiles\E563,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E563,5,46257638,42,2026-03-21T16:18:00,junction
E403,train,backend\data\Srilankan_OCT\DataFiles\E403,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E403,5,46256378,42,2026-03-21T16:18:00,junction
E064,train,backend\data\Srilankan_OCT\DataFiles\E064,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E064,9,7954162,42,2026-03-21T16:18:00,junction
E058,train,backend\data\Srilankan_OCT\DataFiles\E058,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E058,8,5100152,42,2026-03-21T16:18:00,junction
E115,train,backend\data\Srilankan_OCT\DataFiles\E115,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E115,5,46256996,42,2026-03-21T16:18:00,junction
E928,train,backend\data\Srilankan_OCT\DataFiles\E928,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E928,5,46257042,42,2026-03-21T16:18:00,junction
E015,train,backend\data\Srilankan_OCT\DataFiles\E015,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E015,8,5147528,42,2026-03-21T16:18:00,junction
E172,train,backend\data\Srilankan_OCT\DataFiles\E172,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E172,5,46256570,42,2026-03-21T16:18:00,junction
E370,train,backend\data\Srilankan_OCT\DataFiles\E370,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E370,5,46256794,42,2026-03-21T16:18:00,junction
E495,train,backend\data\Srilankan_OCT\DataFiles\E495,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E495,9,8016480,42,2026-03-21T16:18:00,junction
E724,train,backend\data\Srilankan_OCT\DataFiles\E724,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E724,9,7796418,42,2026-03-21T16:18:00,junction
E686,train,backend\data\Srilankan_OCT\DataFiles\E686,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E686,8,5162464,42,2026-03-21T16:18:00,junction
