"dataset_root","split","label","filename","relative_path","full_path","size_bytes","modified_utc"
"Fundus","all","unlabeled","20051020_43808_0100_PP.png","dataset01\IMAGES\20051020_43808_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_43808_0100_PP.png","2795719","2011-02-25T11:54:39.0000000Z"
"Fundus","all","unlabeled","20051020_43832_0100_PP.png","dataset01\IMAGES\20051020_43832_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_43832_0100_PP.png","3407918","2011-02-25T11:52:56.0000000Z"
"Fundus","all","unlabeled","20051020_43882_0100_PP.png","dataset01\IMAGES\20051020_43882_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_43882_0100_PP.png","3528234","2011-02-25T11:55:09.0000000Z"
"Fundus","all","unlabeled","20051020_43906_0100_PP.png","dataset01\IMAGES\20051020_43906_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_43906_0100_PP.png","3553722","2011-02-25T11:53:33.0000000Z"
"Fundus","all","unlabeled","20051020_44261_0100_PP.png","dataset01\IMAGES\20051020_44261_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44261_0100_PP.png","2762040","2011-02-25T11:54:52.0000000Z"
"Fundus","all","unlabeled","20051020_44284_0100_PP.png","dataset01\IMAGES\20051020_44284_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44284_0100_PP.png","2788558","2011-02-25T11:53:30.0000000Z"
"Fundus","all","unlabeled","20051020_44338_0100_PP.png","dataset01\IMAGES\20051020_44338_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44338_0100_PP.png","2740570","2011-02-25T11:54:07.0000000Z"
"Fundus","all","unlabeled","20051020_44349_0100_PP.png","dataset01\IMAGES\20051020_44349_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44349_0100_PP.png","2744862","2011-02-25T11:55:21.0000000Z"
"Fundus","all","unlabeled","20051020_44400_0100_PP.png","dataset01\IMAGES\20051020_44400_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44400_0100_PP.png","3390963","2011-02-25T11:53:57.0000000Z"
"Fundus","all","unlabeled","20051020_44431_0100_PP.png","dataset01\IMAGES\20051020_44431_0100_PP.png","C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Fundus\dataset01\IMAGES\20051020_44431_0100_PP.png","3318037","2011-02-25T11:55:57.0000000Z"
